Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty,Schedule,total_students,
DSAI,2,B4-NEW,Computer Intensive Statistical Methods,0,0,2,0,0,Dr Ramesh Athe,Yes,21,
DSAI,2,B4-NEW,Concurrency and Computation,0,0,2,0,0,Dr Pramod Y,Yes,18,
DSAI,4,MA202,Linear Algebra,3,1,0,0,4,Dr. Chinmayananda,Yes,70,
DSAI,4,HS206,Industrial Social Psychology,3,0,0,0,3,Dr. Navyashree,Yes,70,
DSAI,4,CS204,Operating Systems,3,1,0,0,4,Dr. Manjunath KV,Yes,70,
DSAI,4,DS204,Software Engineering and Services,3,0,2,0,4,Dr. Animesh Chaturvedi,Yes,70,
DSAI,4,CS310,Database Management System,3,1,2,0,5,Dr. Shirshendu & Dr. Utkarsh Khaire,Yes,70,
DSAI,4,DS205,Global Business Perspectives,3,0,0,0,3,Mr. Manmohan Singh,Yes,70,
DSAI,6,DS309,Cloud Computing,3,0,0,4,4,Dr. Animesh Chaturvedi,Yes,70,
DSAI,6,DS306,Financial Data Analytics,3,0,0,4,4,Dr. Utkarsh Khaire,Yes,70,
DSAI,6,DS307,Innovation & Entrepreneurship,3,1,0,0,4,Mr. Ram Subramanian,Yes,70,
DSAI,6,DS308,Data Security & Privacy,3,1,0,0,4,Dr. Abdul Wahid & Dr. Rajendra Hegadi,Yes,70,
DSAI,6,DS399,Mini Project-I,0,0,0,8,2,Coordinator: Dr. Shirshendu,Yes,70,
DSAI,6,HS101,Environmental Studies,,,,,,-,Yes,70,
DSAI,6,B1-CS464,Deep Learning for Computer Vision,3,1,0,0,4,Dr. Chinmayanand,Yes,28,
DSAI,6,B1-NEW,Large Language Models,3,0,0,4,4,Dr. Sunil S,Yes,31,
DSAI,6,B1-CS458,Natural Language Processing,3,1,0,0,4,Dr. Krishnendu,Yes,25,
DSAI,6,B1-NEW,Deep Speech Processing,3,1,0,0,4,Prof. SRM Prasanna,Yes,19,
DSAI,6,B2-CS455,Blockchain Technology,3,0,0,4,4,Dr. Rajendra H,Yes,24,
DSAI,6,B2-EC361,Introduction to 5G Network,3,1,0,0,4,Dr. Jagadeesha R Bhat,Yes,22,
DSAI,6,B2-NEW,Model Checking,3,0,0,4,4,Dr. Pavan,Yes,15,
DSAI,6,B2-NEW,Quantum Communication,3,0,0,0,3,Dr. Aswath B,Yes,18,
DSAI,6,B2-NEW,Quantum HPC and AI,1,0,0,0,1,Dr. Manish M (Dr. Aswath),Yes,21,
DSAI,6,B2-NEW,Design Thinking and Innovation,3,1,0,0,4,Dr. Sandesh P,Yes,29,
ECE,2,-,Linear Algebra,3,1,0,0,2,Dr. Somen Bhattacharjee,Yes,70,
ECE,2,-,Optimization,3,1,0,0,2,Dr. Dibyajyothi Guha,Yes,70,
ECE,2,-,Computer Architecture,3,0,2,0,2,Dr.Jagadish D N,Yes,70,
ECE,2,-,English Language and Communication,3,0,0,0,3,Dr. Rajesh N S,Yes,70,
ECE,2,-,Data Structures and Algorithms,3,0,2,0,4,Dr. Prabhu Prasad,Yes,70,
ECE,2,-,Network Analysis,2,1,0,0,3,Dr. Sibasankar Padhy,Yes,70,
ECE,2,B3-NEW,Data Science with Python,0,0,2,0,0,Dr. Abdul Wahid,Yes,26,
ECE,2,B3-NEW,Introduction to Digital VLSI Design,0,0,2,0,0,Dr Prakash Pawar,Yes,29,
ECE,2,B3-NEW,Industry Insights Program Part 1,0,0,1,0,0,Mr.Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,Yes,33,
ECE,2,B3-NEW,Principles of Quantum Physics,0,0,2,0,0,Dr. Aswath Babu & Pof. Ravi Shankar,Yes,17,
ECE,2,B4-NEW,Linux for Engineers,0,0,2,0,0,Dr. Shirshendu L,Yes,23,
ECE,2,B4-NEW,Photography101,0,0,1,0,0,Dr Prabhu Prasad BM,Yes,35,
ECE,2,B4-NEW,Introduction to Holistic Personality Development,0,0,1,0,0,Prof.Chachadi and Dr.Chandrika,Yes,26,
ECE,2,B4-NEW,Visual Design – Principles and Application in Product Communication        ,0,0,2,0,0,Dr. Sandesh P,Yes,20,
ECE,2,B1-NEW,Introduction to Internet of Things,0,0,2,0,0,Dr Jagadeesha Bhat,Yes,24,
ECE,2,B1-ASD151,Introduction to Design,0,0,1,0,0,Dr. Sandesh P,Yes,28,
ECE,2,B1-HS151,Introduction to Personal Finance,0,0,2,0,0,Dr. Siddharth,Yes,31,
ECE,2,B1-NEW,Concurrency and Computation,0,0,2,0,0,Dr Pramod Y,Yes,22,
ECE,2,B2-NEW,Computer Intensive Statistical Methods,0,0,2,0,0,Dr Ramesh Athe,Yes,19,
ECE,4,MA208,Probability and Random Processes,3,1,0,0,4,Dr. Rajib Sharma/ Rajesh Kumar ,Yes,70,
ECE,4,EC205,Control Systems,3,0,2,0,4,Dr. Pankaj Kumar,Yes,70,
ECE,4,EC310,Embedded Systems Design,3,1,0,0,4,Dr. Prakash Pawar,Yes,70,
ECE,4,EC204,Analog and Digital Communication,3,1,2,0,5,Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab),Yes,70,
ECE,4,HS204,Economics,3,1,0,0,4,Dr. Anushree Kini,Yes,70,
ECE,4,HS205,Ethics,3,0,0,0,3,Dr. Jolly Thomas IIT Dharwad,Yes,70,
ECE,6,CS307,Wireless Communication,3,0,0,4,4,Dr. Rajib Sharma/ Dr. Rao (Lab),Yes,70,
ECE,6,B1-CS464,Deep Learning for Computer Vision ,3,1,0,0,4,Dr. Chinmayanand,Yes,30,
ECE,6,B1-NEW,Large Languange Models,3,0,0,4,4,Dr. Sunil S,Yes,25,
ECE,6,B1-CS458,Natural Language Processing,3,1,0,0,4,Dr. Krishnendu,Yes,27,
ECE,6,B1,CMOS RF Circuit Design,,,,,,Dr. Rajesh Kumar,Yes,18,
ECE,6,B1-NEW,Deep Speech Processing,3,1,0,0,4,Prof. SRM Prasanna,Yes,21,
ECE,6,B2-CS455,Blockchain Technology,3,0,0,4,4,Dr. Rajendra H,Yes,26,
ECE,6,B2-EC361,Introduction to 5G Network,3,1,0,0,4,Dr. Jagadeesha R Bhat,Yes,32,
ECE,6,B2,Model Checking,3,0,0,4,4,Dr. Pavan,Yes,19,
ECE,6,B2,Quantum Communication,3,0,0,0,3,Dr. Aswath B,Yes,15,
ECE,6,B2,Quantum HPC and AI,1,0,0,0,1,Dr. Manish M (Dr. Aswath),Yes,17,
ECE,6,B2-NEW,Design Thinking and Innovation,3,1,0,0,4,Dr. Sandesh P,Yes,28,
ECE,6,B3,Computer Graphics,3,1,0,0,4,Dr. Vivekraj V K,Yes,24,
ECE,6,B3-CS307,Machine Learning,3,1,0,0,4,Dr. Deepak K T,Yes,33,
ECE,6,B3,Virtualization & Cloud Computing,,,,,,Dr. Malay,Yes,22,
ECE,6,B4,Data Analytics & Visualization,3,1,0,0,4,Dr. Sunil C K ,Yes,26,
ECE,6, B4-DS351,Statistics for Health Technology,3,1,0,0,4,Dr. Ramesh Athe,Yes,19,
ECE,6,B4,Medical Image Analysis,2,0,2,4,4,Dr. Girish G N,Yes,23,
ECE,6,B4-CS472,Bioinformatics,,,,,,Dr. Sunil Kumar PV,Yes,18,
ECE,6,B3,Automotive Embedded and Multimedia Systems/Microwave Engineering/Computer Graphics/Machine learning/Virtualization and Cloud Computing,3,1,0,0,4,Mr. Jagadeesh K (Dr Sibasankar Padhy)/Dr. Somen/Dr. Vivekraj V K/Dr. Deepak KT/Dr Malay,Yes,30,
ECE,6,Mini Project 1,Mini Project 1,0,0,0,8,2,Dr. Pankaj Kumar,Yes,70,
ECE,8,EC499,Major Project,0,0,0,32,8,Dr. Rajesh Kumar,Yes,70,
