Course Code,Faculty
MA261,Dr. Anand Barangi
MA262,Dr. Somen Bhattacharjee
CS261,Dr. Suvadip Hazra
CS262,Dr. Sunil P V/Dr. Vivekraj VK
CS263,Dr. Malay/Dr. Pramod Y
CS264,Dr. Prabhu Prasad BM
NEW,Dr. Ganesh MP
NEW,Dr. Pankaj
CS162,Dr. Abdul Wahid
NEW,Dr. Vivek VK
NEW,Dr. Sibasankar Padhy
NEW,Mr. Mallikarjun Kande


